time	V(n001)	V(n002)
5.714400021268011e-07	4.996554e+00	0.000000e+00
5.778400021488090e-07	4.996633e+00	0.000000e+00
5.842400021708169e-07	4.996709e+00	0.000000e+00
5.906400021928247e-07	4.996782e+00	0.000000e+00
5.970400022148326e-07	4.996851e+00	0.000000e+00
6.114400022643502e-07	4.997032e+00	0.000000e+00
6.258400023138679e-07	4.997210e+00	0.000000e+00
6.402400023633856e-07	4.997386e+00	0.000000e+00
6.546400024129033e-07	4.997560e+00	0.000000e+00
6.690400024624208e-07	4.997732e+00	0.000000e+00
6.834400025119386e-07	4.997902e+00	0.000000e+00
6.978400025614562e-07	4.998069e+00	0.000000e+00
6.999999998535955e-07	4.998093e+00	0.000000e+00
